alternative_motive_power,basic_colour,body_type,cc_rating,chassis7,class,engine_number,first_nz_registration_year,first_nz_registration_month,gross_vehicle_mass,height,import_status,industry_class,industry_model_code,make,model,motive_power,mvma_model_code,number_of_axles,number_of_seats,nz_assembled,original_country,power_rating,previous_country,road_transport_code,submodel,tla,postcode,transmission_type,vdam_weight,vehicle_type,vehicle_usage,vehicle_year,vin11,width,synthetic_greenhouse_gas,fc_combined,fc_urban,fc_extra_urban
,ORANGE,TRACTOR,2750,383763,,84676329541,1984.0,3.0,0.0,0,NEW,PRIVATE,,FIAT,566DT,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,0,,0,TRACTOR,AGRICULTURAL,1984,,0,,,,
,RED,TRACTOR,7400,339094,,676659,1987.0,8.0,0.0,0,NEW,UNKNOWN,,CASE,685OX IH,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,WAITAKI DISTRICT,0,,0,TRACTOR,AGRICULTURAL,1987,,0,,,,
,RED,TRACTOR,0,ZEA2825,,,1987.0,12.0,0.0,0,RE-REG,PRIVATE,,CUSTOMBUILT,TRACTOR RE MODELLED,PETROL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,TAURANGA CITY,3112,,0,TRACTOR,OTHER,1948,,0,,,,
,GREEN,TRACTOR,2940,628247,,762886,1988.0,9.0,0.0,0,NEW,TRANSPORT NON ROAD,,JOHN DEERE,1850,DIESEL,,0,0,UNKNOWN,GERMANY,0,NONE,,,CHRISTCHURCH CITY,8042,,0,TRACTOR,OTHER,1988,,0,,,,
,GREEN,TRACTOR,3920,H93711,,579178CD,1984.0,2.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,JOHN DEERE,1640,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,GISBORNE DISTRICT,4072,,0,TRACTOR,OTHER,1983,,0,,,,
,YELLOW,TRACTOR,4000,819998,,212UA3305,1969.0,6.0,0.0,0,NEW,UNKNOWN,,TRACTOR,MF3305,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,ASHBURTON DISTRICT,7782,,0,TRACTOR,OTHER,1969,,0,,,,
,BLUE,TRACTOR,0,7016A,,7016A,1992.0,6.0,0.0,0,RE-REG,UNKNOWN,,FORD,5000,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,TARARUA DISTRICT,0,,0,TRACTOR,OTHER,1968,,0,,,,
,GREEN,TRACTOR,3900,RW4050P,,RG6466D267733,1993.0,8.0,0.0,0,RE-REG,CONSTRUCTING,,JOHN DEERE,4050,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,QUEENSTOWN-LAKES DISTRICT,0,,0,TRACTOR,OTHER,1989,,0,,,,
,BROWN,TRACTOR,3600,086244,,513815,1993.0,9.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FIAT,70-90 DT,DIESEL,,0,0,UNKNOWN,ITALY,0,NONE,,,AUCKLAND,2683,,0,TRACTOR,OTHER,1992,,0,,,,
,RED,TRACTOR,2009,29619J,,109507,1994.0,1.0,0.0,0,RE-REG,UNKNOWN,,FARMALL,140,PETROL,,0,0,UNKNOWN,UNITED STATES,0,NONE,,,TASMAN DISTRICT,7120,,0,TRACTOR,OTHER,1967,,0,,,,
,ORANGE,TRACTOR,6800,1203520,,8045,1994.0,7.0,0.0,0,RE-REG,AGRICULTURE/FORESTRY/FISHING,,FIAT,8045,DIESEL,,0,0,UNKNOWN,FRANCE,0,NONE,,,INVERCARGILL CITY,9872,,0,TRACTOR,OTHER,1982,,0,,,,
