tla,tier_assigned,annual_diesel_litres
SOUTH TARANAKI DISTRICT,Tier 1,64305.57935767647
GORE DISTRICT,Tier 1,61379.36902425542
WAIROA DISTRICT,Tier 4f,60917.69189001681
QUEENSTOWN-LAKES DISTRICT,Unregulated,59595.039451950186
WHANGAREI DISTRICT,Tier 1,59438.71849916882
ROTORUA DISTRICT,Unregulated,58731.26454933353
HAMILTON CITY,Tier 1,55953.67530621234
CARTERTON DISTRICT,Stage V,55350.75781707924
WHANGANUI DISTRICT,Unregulated,55194.45846917259
MASTERTON DISTRICT,Unregulated,55144.1775647453
,Stage V,54535.880130900536
DUNEDIN CITY,Tier 1,54328.005116348504
BULLER DISTRICT,Stage V,53473.86206632302
WAIMATE DISTRICT,Tier 1,53383.08406901102
KAIKOURA DISTRICT,Tier 4f,51672.15791249463
NELSON CITY,Unregulated,49829.540774923764
TARARUA DISTRICT,Tier 1,49481.46363833932
SOUTH WAIKATO DISTRICT,Unregulated,48978.336098413936
HAURAKI DISTRICT,Tier 1,48668.62854340741
BULLER DISTRICT,Tier 2,48595.0696344373
GREY DISTRICT,Stage V,47919.50026212857
STRATFORD DISTRICT,Unregulated,47181.65004959311
KAIKOURA DISTRICT,Tier 2,44423.692868606406
WAIROA DISTRICT,Tier 4i,44187.502854042716
PORIRUA CITY,Tier 4i,43427.010922061076
LOWER HUTT CITY,Tier 4f,43274.322669019326
CLUTHA DISTRICT,Tier 1,43110.84887295876
,Tier 2,43052.41793355656
OPOTIKI DISTRICT,Stage V,42396.37688705989
NELSON CITY,Stage V,41895.629919448
HOROWHENUA DISTRICT,Tier 1,41129.559586875184
KAIKOURA DISTRICT,Tier 4i,39348.718899000014
RUAPEHU DISTRICT,Unregulated,39168.841630013645
WAIROA DISTRICT,Tier 2,37948.68249698722
KAPITI COAST DISTRICT,Stage V,37502.4712481555
WESTLAND DISTRICT,Stage V,37041.341518544956
TAURANGA CITY,Tier 1,36526.87063317867
KAIPARA DISTRICT,Tier 1,36415.10406127159
CENTRAL OTAGO DISTRICT,Tier 1,36303.33748936451
OPOTIKI DISTRICT,Unregulated,35619.465323745884
WAIROA DISTRICT,Unregulated,35575.46953237201
MACKENZIE DISTRICT,Unregulated,34724.26485586218
WAITOMO DISTRICT,Unregulated,34692.83929059512
UPPER HUTT CITY,Tier 4f,34659.78175481122
WHAKATANE DISTRICT,Tier 1,33397.44653644193
CENTRAL HAWKE'S BAY DISTRICT,Unregulated,32038.66345221106
HURUNUI DISTRICT,Tier 1,31700.648535667984
TAUPO DISTRICT,Unregulated,31162.318323487587
SOUTH WAIRARAPA DISTRICT,Unregulated,31156.033210434176
MANAWATU DISTRICT,Tier 1,31040.218773640125
RANGITIKEI DISTRICT,Tier 1,30908.132821234554
SOUTH WAIKATO DISTRICT,Tier 1,30227.38367870821
LOWER HUTT CITY,Tier 4i,29732.445148290706
