region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central,diesel_per_active_tractor_l,scr_share_of_regional_diesel,def_central_per_active_tractor_l,rank_diesel,rank_def_central,rank_active_fleet
WESTLAND DISTRICT,705193.1710153457,110.9420734444769,147146.5157533739,4414.395472601217,5885.860630134956,7357.325787668696,37041.34151854496,6035.315049659317,68351.09563104583,368173.4719322606,110105.17423482894,86139.99571349952,29346.776935506536,110.9420734444769,705193.1710153457,0.7051931710153457,147146.5157533739,0.1471465157533739,0.0058858606301349,0.003549578686152,0.0034602213636474,0.0028027894251241,6356.408791731058,0.20866128856794028,53.05345796588696,58.0,60.0,60.0
KAPITI COAST DISTRICT,697140.8817103086,119.0750785703793,141681.1429441987,4250.4342883259615,5667.245717767949,7084.057147209936,37502.4712481555,15067.968243649808,81182.9819034922,304426.5537849065,104178.6716960432,73853.22686618412,80929.00796787726,119.0750785703793,697140.8817103086,0.6971408817103086,141681.1429441987,0.1416811429441987,0.0056672457177679,0.0038097932355376,0.0034207106244276,0.0026986871360859,5854.632976775771,0.20323172354576272,47.593886023919566,59.0,61.0,55.0
NELSON CITY,690367.1495025452,111.553956116831,157838.2590269448,4735.147770808344,6313.530361077793,7891.912951347241,41895.629919448,17404.87662595312,65841.23742643734,319170.19232879486,115942.62910749682,80283.0433194913,49829.54077492376,111.553956116831,690367.1495025452,0.6903671495025453,157838.2590269448,0.1578382590269448,0.0063135303610777,0.0035691558008099,0.003387473472027,0.0030064415797802,6188.638875160289,0.22862944614424022,56.5962031365836,60.0,59.0,58.0
,667124.7381845929,97.837698363553,199135.85445683368,5974.07563370501,7965.434178273347,9956.792722841685,,,,,,,,97.837698363553,667124.7381845929,0.667124738184593,199135.85445683368,0.1991358544568336,0.0079654341782733,0.0031303057355173,0.003273428283431,0.0037930620659081,6818.687983701727,0.2984986810693459,81.41477479033402,61.0,56.0,61.0
WAIROA DISTRICT,388381.0478057117,63.727488755382645,82223.35315866795,2466.7005947600383,3288.9341263467177,4111.167657933397,21305.66126865114,7071.683288405403,37948.68249698722,181374.35647523645,60917.69189001681,44187.50285404272,35575.46953237201,63.727488755382645,388381.0478057117,0.3883810478057117,82223.35315866795,0.0822233531586679,0.0032889341263467,0.0020389535618451,0.0019056968417861,0.0015661583527918,6094.403771291046,0.21170794410081598,51.609347717611186,62.0,63.0,62.0
KAIKOURA DISTRICT,356117.72678555787,60.34665976672908,68724.41911520968,2061.73257345629,2748.976764608387,3436.220955760484,17052.261202715046,11389.88095679229,44423.692868606406,167309.9594454342,51672.15791249463,39348.718899000014,24921.055500515296,60.34665976672908,356117.72678555787,0.3561177267855578,68724.41911520968,0.0687244191152096,0.0027489767646083,0.001930784333102,0.0017473881155467,0.0013090359235331,5901.2003010959725,0.19298230317131393,45.553089023228644,63.0,64.0,63.0
PORIRUA CITY,341379.92323208926,50.55605365856728,89261.12524634492,2677.833757390348,3570.445009853797,4463.056262317246,24829.84420438896,2225.1418103962287,22920.950153892027,171094.59501871746,64431.281041955954,43427.01092206108,12451.100080677532,50.55605365856728,341379.92323208926,0.3413799232320892,89261.12524634492,0.0892611252463449,0.0035704450098537,0.001617535033832,0.0016750730892462,0.0017002110898395,6752.503380457954,0.2614715136181579,70.62349118400084,64.0,62.0,64.0
LOWER HUTT CITY,249045.79789182649,39.25878314438331,59360.51777007416,1780.815533102225,2374.4207108029664,2968.025888503708,16086.195101054833,3149.7434772352303,28682.35141734393,121003.1321271867,43274.322669019326,29732.445148290702,7117.607951695765,39.25878314438331,249045.79789182649,0.2490457978918265,59360.51777007416,0.0593605177700741,0.0023744207108029,0.0012560801828109,0.0012220106855986,0.0011306759838929,6343.69631315119,0.2383518142950459,60.4812610230535,65.0,65.0,65.0
UPPER HUTT CITY,225244.06135734508,36.46012970208081,46264.10662734357,1387.923198820307,1850.564265093743,2313.2053313671786,11604.32487253235,3017.6575248296585,25982.51084728953,113155.42236765068,34659.78175481122,26151.09461921472,10673.269371016942,36.46012970208081,225244.06135734508,0.2252440613573451,46264.10662734357,0.0462641066273435,0.0018505642650937,0.0011665375926979,0.0011052210162801,0.0008812206538092,6177.818433391097,0.20539545570502973,50.75583329557072,66.0,66.0,66.0
KAWERAU DISTRICT,26243.188880353613,5.028294147873955,4700.465820783177,141.0139746234953,188.0186328313271,235.0232910391589,1300.9617382583572,528.3438096222866,7598.174941763703,10418.642373101417,3399.50408252482,2108.6465802527364,888.9153548302942,5.028294147873955,26243.188880353613,0.0262431888803536,4700.465820783177,0.0047004658207831,0.0001880186328313,0.0001608796841527,0.0001287693167579,8.95326391399557e-05,5219.103757374589,0.179111838969466,37.392130870227106,67.0,67.0,67.0
