tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name
ROTORUA DISTRICT,429.4056990569468,3169835.5777497753,95.50960964416319,1226127.1869264375,3.169835577749775,1.2261271869264376,0.036783815607793126,0.049045087477057506,0.06130635934632188,moderate_modernization
RUAPEHU DISTRICT,165.245339559558,1130215.0124209477,29.18507743232145,372899.7093161566,1.1302150124209476,0.37289970931615657,0.011186991279484696,0.014915988372646263,0.01864498546580783,moderate_modernization
SELWYN DISTRICT,605.2736196007075,4050747.2282126336,102.67725140895814,1311815.6567010975,4.050747228212634,1.3118156567010975,0.03935446970103292,0.0524726262680439,0.06559078283505489,moderate_modernization
SOUTH TARANAKI DISTRICT,554.1357167876229,3788970.1882680366,97.23714993515603,1240260.1924733098,3.7889701882680367,1.2402601924733099,0.0372078057741993,0.04961040769893239,0.062013009623665495,moderate_modernization
SOUTH WAIKATO DISTRICT,382.209602586904,2806188.697794852,83.48874320022624,1068947.9498497886,2.806188697794852,1.0689479498497885,0.03206843849549365,0.04275791799399154,0.053447397492489425,moderate_modernization
SOUTH WAIRARAPA DISTRICT,181.18561842244236,1267842.9251917708,33.27380120528331,424234.29735315614,1.2678429251917707,0.42423429735315615,0.012727028920594685,0.016969371894126246,0.021211714867657806,moderate_modernization
SOUTHLAND DISTRICT,1365.854155895003,9691539.430016793,271.7751707080812,3478337.1383301904,9.691539430016793,3.4783371383301906,0.1043501141499057,0.13913348553320762,0.17391685691650954,moderate_modernization
STRATFORD DISTRICT,177.6794182281247,1200005.8841792848,29.952708979635524,380982.90712346573,1.2000058841792849,0.3809829071234657,0.011429487213703972,0.01523931628493863,0.01904914535617329,moderate_modernization
TARARUA DISTRICT,378.72916167592155,2625750.6801952585,71.91937800179483,922424.6792402565,2.6257506801952584,0.9224246792402565,0.027672740377207693,0.03689698716961026,0.046121233962012835,moderate_modernization
TASMAN DISTRICT,867.4433169845639,5685394.603051172,135.1701359942104,1720904.4633219168,5.685394603051171,1.7209044633219168,0.0516271338996575,0.06883617853287667,0.08604522316609585,moderate_modernization
