tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
GISBORNE DISTRICT,499.97360456645214,3139883.1708488776,58.95924803901248,732972.0002837434,3.139883170848877,0.7329720002837433,0.0219891600085123,0.0293188800113497,0.0366486000141871,baseline_current_structure,3.139883170848877,0.0293188800113497,0.0,0.0
GORE DISTRICT,621.7518611502518,4124921.625298517,87.98069073511795,1094789.7251794226,4.124921625298517,1.0947897251794227,0.0328436917553826,0.0437915890071769,0.0547394862589711,baseline_current_structure,4.124921625298517,0.0437915890071769,0.0,0.0
GREY DISTRICT,115.42613003486466,734480.4283165991,14.359191490349376,178837.72977783356,0.7344804283165991,0.1788377297778335,0.005365131893335,0.0071535091911133,0.0089418864888916,baseline_current_structure,0.7344804283165991,0.0071535091911133,0.0,0.0
HAMILTON CITY,861.3882938515482,5809363.23334527,131.84357140339355,1646712.6605495785,5.809363233345271,1.6467126605495783,0.0494013798164873,0.0658685064219831,0.0823356330274789,baseline_current_structure,5.809363233345271,0.0658685064219831,0.0,0.0
HASTINGS DISTRICT,771.7659136619548,5259960.600140723,126.58239313383072,1583852.5098125988,5.259960600140723,1.5838525098125988,0.0475155752943779,0.0633541003925039,0.0791926254906299,baseline_current_structure,5.259960600140723,0.0633541003925039,0.0,0.0
HAURAKI DISTRICT,288.3315059921745,1830579.2605902727,36.23103727298916,451289.3729538431,1.8305792605902729,0.4512893729538431,0.0135386811886152,0.0180515749181537,0.0225644686476921,baseline_current_structure,1.8305792605902729,0.0180515749181537,0.0,0.0
HOROWHENUA DISTRICT,382.0555675313023,2420545.2086886894,46.2101506643796,573893.0408663432,2.4205452086886896,0.5738930408663432,0.0172167912259902,0.0229557216346537,0.0286946520433171,baseline_current_structure,2.4205452086886896,0.0229557216346537,0.0,0.0
HURUNUI DISTRICT,323.0692323905395,2075917.867712996,39.64296740052891,493300.153493034,2.075917867712996,0.4933001534930339,0.014799004604791,0.0197320061397213,0.0246650076746517,baseline_current_structure,2.075917867712996,0.0197320061397213,0.0,0.0
INVERCARGILL CITY,845.9160075431454,5592236.411996629,117.98873378152348,1469789.550167262,5.5922364119966295,1.469789550167262,0.0440936865050178,0.0587915820066904,0.0734894775083631,baseline_current_structure,5.5922364119966295,0.0587915820066904,0.0,0.0
KAIKOURA DISTRICT,60.35016434423856,356117.72678555787,5.572926877475632,68724.41911520968,0.3561177267855578,0.0687244191152096,0.0020617325734562,0.0027489767646083,0.0034362209557604,baseline_current_structure,0.3561177267855578,0.0027489767646083,0.0,0.0
KAIPARA DISTRICT,296.0282722047645,1810338.963274492,29.720599939824872,367910.15766698326,1.810338963274492,0.3679101576669832,0.0110373047300094,0.0147164063066793,0.0183955078833491,baseline_current_structure,1.810338963274492,0.0147164063066793,0.0,0.0
KAPITI COAST DISTRICT,119.08142340566626,697140.8817103086,11.39440668429224,141681.14294419874,0.6971408817103086,0.1416811429441987,0.0042504342883259,0.0056672457177679,0.0070840571472099,baseline_current_structure,0.6971408817103086,0.0056672457177679,0.0,0.0
KAWERAU DISTRICT,5.028401204787997,26243.188880353613,0.3757365966198346,4700.465820783177,0.0262431888803536,0.0047004658207831,0.0001410139746234,0.0001880186328313,0.0002350232910391,baseline_current_structure,0.0262431888803536,0.0001880186328313,0.0,0.0
LOWER HUTT CITY,39.26108811759057,249045.79789182649,4.758879599592345,59360.51777007416,0.2490457978918265,0.0593605177700741,0.0017808155331022,0.0023744207108029,0.0029680258885037,baseline_current_structure,0.2490457978918265,0.0023744207108029,0.0,0.0
MACKENZIE DISTRICT,187.65783566349472,1234564.2757044004,25.191152454475933,312681.91797238216,1.2345642757044004,0.3126819179723821,0.0093804575391714,0.0125072767188952,0.0156340958986191,baseline_current_structure,1.2345642757044004,0.0125072767188952,0.0,0.0
MANAWATU DISTRICT,383.8805722953612,2545036.6168247657,53.49870131728076,665006.6250174436,2.5450366168247656,0.6650066250174436,0.0199501987505233,0.0266002650006977,0.0332503312508721,baseline_current_structure,2.5450366168247656,0.0266002650006977,0.0,0.0
MARLBOROUGH DISTRICT,1412.8133844334366,9615131.293152664,216.65834957456315,2701453.205601925,9.615131293152665,2.7014532056019247,0.0810435961680577,0.1080581282240769,0.1350726602800962,baseline_current_structure,9.615131293152665,0.1080581282240769,0.0,0.0
MASTERTON DISTRICT,197.97359628602888,1261319.1786322347,24.209217740970896,301264.9398712507,1.2613191786322346,0.3012649398712507,0.0090379481961375,0.01205059759485,0.0150632469935625,baseline_current_structure,1.2613191786322346,0.01205059759485,0.0,0.0
MATAMATA-PIAKO DISTRICT,1090.8343014353588,7232557.854348387,153.46685809073182,1914082.930625184,7.232557854348387,1.9140829306251843,0.0574224879187555,0.0765633172250073,0.0957041465312592,baseline_current_structure,7.232557854348387,0.0765633172250073,0.0,0.0
NAPIER CITY,238.3687935075635,1552599.9340525512,31.551570767567,392143.16384529753,1.5525999340525511,0.3921431638452975,0.0117642949153589,0.0156857265538119,0.0196071581922648,baseline_current_structure,1.5525999340525511,0.0156857265538119,0.0,0.0
NELSON CITY,111.55933931646068,690367.1495025452,12.689114900213148,157838.2590269448,0.6903671495025453,0.1578382590269448,0.0047351477708083,0.0063135303610777,0.0078919129513472,baseline_current_structure,0.6903671495025453,0.0063135303610777,0.0,0.0
NEW PLYMOUTH DISTRICT,522.9005177726485,3186451.35092871,51.444777603193465,637134.0157966003,3.18645135092871,0.6371340157966002,0.019114020473898,0.025485360631864,0.03185670078983,baseline_current_structure,3.18645135092871,0.025485360631864,0.0,0.0
OPOTIKI DISTRICT,117.95395062300416,728888.7409642247,13.253090273306857,164251.0183011138,0.7288887409642246,0.1642510183011138,0.0049275305490334,0.0065700407320445,0.0082125509150556,baseline_current_structure,0.7288887409642246,0.0065700407320445,0.0,0.0
