tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
INVERCARGILL CITY,845.9160075431454,5970750.790352037,165.9473375455134,2124324.529329329,5.970750790352037,2.124324529329329,0.0637297358798798,0.0849729811731731,0.1062162264664664,moderate_modernization,5.5922364119966295,0.0587915820066904,0.37851437835540747,0.026181399166482704
WAIPA DISTRICT,842.1897176348002,5913468.358828497,159.46946142118583,2038440.873249095,5.9134683588284975,2.038440873249095,0.0611532261974728,0.0815376349299638,0.1019220436624547,moderate_modernization,5.534265582287926,0.0559165670422969,0.37920277654057166,0.025621067887666896
HASTINGS DISTRICT,771.7659136619548,5626053.142419158,172.1541588971698,2220460.9514018577,5.626053142419158,2.220460951401858,0.0666138285420557,0.0888184380560743,0.1110230475700928,moderate_modernization,5.259960600140723,0.0633541003925039,0.3660925422784347,0.025464337663570397
TASMAN DISTRICT,867.4433169845639,5685394.603051172,135.1701359942104,1720904.4633219168,5.685394603051171,1.7209044633219168,0.0516271338996575,0.0688361785328766,0.0860452231660958,moderate_modernization,5.33159561090429,0.0464457347225647,0.3537989921468814,0.022390443810311904
WAIKATO DISTRICT,733.0743901278074,5128171.5963164745,137.73292741454787,1756742.9113215609,5.1281715963164745,1.756742911321561,0.0527022873396468,0.0702697164528624,0.087837145566078,moderate_modernization,4.795341988475544,0.0479720179032039,0.33282960784093074,0.022297698549658497
PALMERSTON NORTH CITY,742.2436245459618,5151326.998569119,138.86818543542117,1780735.439847501,5.151326998569119,1.780735439847501,0.053422063195425,0.0712294175939,0.089036771992375,moderate_modernization,4.810163628036168,0.0494460060347705,0.34116337053295087,0.021783411559129502
WAITAKI DISTRICT,695.762179642879,4740448.044169086,123.09596469784248,1571284.8167618546,4.740448044169086,1.5712848167618545,0.0471385445028556,0.0628513926704741,0.0785642408380927,moderate_modernization,4.430342683132397,0.0430080207308692,0.3101053610366886,0.0198433719396049
AUCKLAND,2522.8001626490627,19171055.90738653,633.8991529731518,8551095.286572974,19.17105590738653,8.551095286572973,0.2565328585971892,0.342043811462919,0.4275547643286487,scr_push,16.627994866371708,0.1811289701290834,2.5430610410148233,0.1609148413338356
ASHBURTON DISTRICT,1768.537907490089,13289386.13931284,427.5309321562816,5741234.980944644,13.28938613931284,5.741234980944644,0.1722370494283393,0.2296493992377857,0.2870617490472322,scr_push,11.548300232706268,0.1194015038634313,1.741085906606573,0.11024789537435441
MARLBOROUGH DISTRICT,1412.8133844334366,11138077.425307035,380.4741580332147,5125831.372856727,11.138077425307037,5.125831372856727,0.1537749411857018,0.205033254914269,0.2562915686428363,scr_push,9.615131293152665,0.1080581282240769,1.522946132154372,0.09697512669019209
SOUTHLAND DISTRICT,1365.8541558950028,10461967.594798235,344.6321958275984,4627921.79269709,10.461967594798235,4.62792179269709,0.1388376537809127,0.1851168717078836,0.2313960896348545,scr_push,9.068056144146444,0.0962550859675614,1.3939114506517907,0.0888617857403222
MATAMATA-PIAKO DISTRICT,1090.8343014353586,8342551.86117062,272.63079446331346,3665468.902895879,8.34255186117062,3.665468902895879,0.1099640670868763,0.1466187561158351,0.1832734451447939,scr_push,7.232557854348387,0.0765633172250073,1.109994006822233,0.07005543889082781
TIMARU DISTRICT,1073.432502865356,7890583.767077709,244.02644614251363,3265121.9117499194,7.890583767077708,3.2651219117499197,0.0979536573524975,0.1306048764699967,0.163256095587496,scr_push,6.884044131514043,0.0668869542672813,1.0065396355636658,0.06371792220271538
HAMILTON CITY,861.3882938515482,6728242.609193839,229.54775796007223,3099139.3293238226,6.728242609193839,3.0991393293238225,0.0929741798797146,0.1239655731729529,0.1549569664661911,scr_push,5.809363233345271,0.0658685064219831,0.9188793758485678,0.0580970667509698
CHRISTCHURCH CITY,910.2324161618304,6763507.533959179,216.8060215953577,2922079.3879739903,6.763507533959179,2.9220793879739904,0.0876623816392197,0.1168831755189596,0.1461039693986995,scr_push,5.884893087787285,0.0616434163649525,0.8786144461718939,0.055239759154007105
INVERCARGILL CITY,845.9160075431453,6440782.909510894,210.24726871139583,2824068.853054137,6.440782909510894,2.824068853054137,0.0847220655916241,0.1129627541221654,0.1412034426527068,scr_push,5.5922364119966295,0.0587915820066904,0.8485464975142643,0.054171172115475
HASTINGS DISTRICT,771.7659136619548,6112960.442122486,216.08832863151292,2929982.4846810056,6.112960442122486,2.9299824846810054,0.0878994745404301,0.1171992993872402,0.1464991242340503,scr_push,5.259960600140723,0.0633541003925039,0.852999841981763,0.053845198994736304
WAIPA DISTRICT,842.1897176348002,6359072.785086346,202.2798212122006,2711379.6555885244,6.3590727850863455,2.7113796555885243,0.0813413896676557,0.1084551862235409,0.1355689827794262,scr_push,5.534265582287926,0.0559165670422969,0.8248072027984197,0.052538619181244
WAIKATO DISTRICT,733.0743901278075,5515022.282175048,175.22254618408965,2343774.35841104,5.515022282175048,2.34377435841104,0.0703132307523311,0.0937509743364416,0.117188717920552,scr_push,4.795341988475544,0.0479720179032039,0.7196802936995041,0.0457789564332377
TASMAN DISTRICT,867.4433169845638,6052224.931812022,171.71600591393218,2291942.159158756,6.052224931812022,2.291942159158756,0.0687582647747626,0.0916776863663502,0.1145971079579378,scr_push,5.33159561090429,0.0464457347225647,0.7206293209077321,0.0452319516437855
PALMERSTON NORTH CITY,742.2436245459617,5528895.959040976,175.14412927710572,2357375.0930168647,5.528895959040976,2.3573750930168647,0.0707212527905059,0.0942950037206745,0.1178687546508432,scr_push,4.810163628036168,0.0494460060347705,0.7187323310048077,0.044848997685903995
WAITAKI DISTRICT,695.762179642879,5079701.983098013,156.3338232254809,2093146.99320528,5.079701983098014,2.09314699320528,0.0627944097961583,0.0837258797282111,0.1046573496602639,scr_push,4.430342683132397,0.0430080207308692,0.6493592999656164,0.040717858997341906
