region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
GISBORNE DISTRICT,accelerated_modernization,2029,499.9671352586455,3.4483476988363737,1.2465133036304175,0.04986053214521665,0.03739539910891252,0.06232566518152088
GORE DISTRICT,accelerated_modernization,2029,621.7409630709399,4.536802496237367,1.8259030277593393,0.0730361211103735,0.05477709083278018,0.09129515138796697
GREY DISTRICT,accelerated_modernization,2029,115.42455273697018,0.812626039689362,0.30134926878302,0.012053970751320774,0.0090404780634906,0.015067463439151
HAMILTON CITY,accelerated_modernization,2029,861.3738028792345,6.410506730435405,2.688923590137329,0.10755694360549312,0.08066770770411988,0.13444617950686646
HASTINGS DISTRICT,accelerated_modernization,2029,771.753362123374,5.804193597605685,2.538765172196487,0.10155060688785943,0.07616295516589461,0.12693825860982436
HAURAKI DISTRICT,accelerated_modernization,2029,288.3269413434182,2.0126457641279742,0.756449316511364,0.030257972660454498,0.02269347949534092,0.037822465825568204
HOROWHENUA DISTRICT,accelerated_modernization,2029,382.0492707141872,2.667299358366028,0.9786127743214579,0.039144510972858246,0.029358383229643736,0.048930638716072894
HURUNUI DISTRICT,accelerated_modernization,2029,323.06400138803065,2.2874203015065797,0.8435135138813201,0.033740540555252774,0.0253054054164396,0.04217567569406601
INVERCARGILL CITY,accelerated_modernization,2029,845.9015678415527,6.15074639334163,2.4515920189103615,0.09806368075641438,0.07354776056731084,0.12257960094551808
KAIKOURA DISTRICT,accelerated_modernization,2029,60.34928819986119,0.39255091476080783,0.12297114500410528,0.004918845800164175,0.003689134350123158,0.006148557250205264
KAIPARA DISTRICT,accelerated_modernization,2029,296.0239344819945,1.9920766811478363,0.6539637167662168,0.02615854867064865,0.019618911502986502,0.03269818583831084
KAPITI COAST DISTRICT,accelerated_modernization,2029,119.07983719684454,0.7653402096125271,0.2436915899306224,0.009747663597224876,0.007310747697918672,0.012184579496531121
KAWERAU DISTRICT,accelerated_modernization,2029,5.028374440559486,0.03032694749381185,0.0078851123509372,0.000315404494037425,0.00023655337052811603,0.00039425561754686004
LOWER HUTT CITY,accelerated_modernization,2029,39.26051187428875,0.2759919866446666,0.1004901858586409,0.004019607434345575,0.003014705575759227,0.005024509292932046
MACKENZIE DISTRICT,accelerated_modernization,2029,187.65471836127455,1.3598516468496267,0.5301688711081793,0.02120675484432715,0.01590506613324538,0.02650844355540897
MANAWATU DISTRICT,accelerated_modernization,2029,383.8739897559502,2.8040008987337344,1.1166520764712722,0.04466608305885088,0.03349956229413816,0.055832603823563615
MARLBOROUGH DISTRICT,accelerated_modernization,2029,1412.7913714060305,10.608463737063467,4.447796985896691,0.17791187943586761,0.1334339095769007,0.22238984929483455
MASTERTON DISTRICT,accelerated_modernization,2029,197.97089258563088,1.391917144838504,0.5113099090307685,0.020452396361230724,0.015339297270923053,0.025565495451538425
MATAMATA-PIAKO DISTRICT,accelerated_modernization,2029,1090.8153348540854,7.981801220878909,3.1857486000798585,0.12742994400319424,0.09557245800239575,0.15928743000399292
NAPIER CITY,accelerated_modernization,2029,238.36565516238628,1.7080661687898198,0.6598561017690403,0.026394244070761574,0.01979568305307121,0.03299280508845202
NELSON CITY,accelerated_modernization,2029,111.55799351655327,0.757527556551619,0.267875249165453,0.01071500996661805,0.00803625747496359,0.013393762458272652
NEW PLYMOUTH DISTRICT,accelerated_modernization,2029,522.892841552302,3.497558284716326,1.1360218991666182,0.04544087596666465,0.03408065697499855,0.05680109495833091
OPOTIKI DISTRICT,accelerated_modernization,2029,117.95271233342972,0.8033188423419121,0.2817904132629011,0.011271616530515977,0.008453712397887033,0.014089520663145056
OTOROHANGA DISTRICT,accelerated_modernization,2029,268.1749482901652,1.92284893756024,0.7578174046695165,0.030312696186780598,0.022734522140085495,0.03789087023347583
PALMERSTON NORTH CITY,accelerated_modernization,2029,742.2328115801336,5.305986740488825,2.0530280843366198,0.08212112337346475,0.06159084253009859,0.102651404216831
PORIRUA CITY,accelerated_modernization,2029,50.5585544546058,0.37367415741408605,0.14891280609513963,0.0059565122438055,0.004467384182854189,0.007445640304756982
QUEENSTOWN-LAKES DISTRICT,accelerated_modernization,2029,210.0792991979774,1.4934674967105495,0.5538285234173475,0.022153140936693877,0.01661485570252042,0.027691426170867374
RANGITIKEI DISTRICT,accelerated_modernization,2029,352.9539035459394,2.577944824393019,1.0459322399595232,0.04183728959838087,0.031377967198785696,0.05229661199797617
ROTORUA DISTRICT,accelerated_modernization,2029,429.39866404154327,3.270194701880948,1.409163058689169,0.056366522347566755,0.04227489176067507,0.07045815293445845
RUAPEHU DISTRICT,accelerated_modernization,2029,165.24298037776532,1.1636198468015908,0.43172474242627745,0.01726898969705105,0.012951742272788324,0.021586237121313873
SELWYN DISTRICT,accelerated_modernization,2029,605.2643152966111,4.1654520555302526,1.5184048794629645,0.060736195178518526,0.045552146383888936,0.07592024397314823
SOUTH TARANAKI DISTRICT,accelerated_modernization,2029,554.1278655513341,3.90129490154274,1.4380419590634468,0.057521678362537826,0.043141258771903404,0.07190209795317234
SOUTH WAIKATO DISTRICT,accelerated_modernization,2029,382.20302184544533,2.894551728842833,1.2314840578778146,0.04925936231511255,0.03694452173633444,0.061574202893890734
SOUTH WAIRARAPA DISTRICT,accelerated_modernization,2029,181.18244691163676,1.3054275039731196,0.492569967633236,0.0197027987053294,0.01477709902899708,0.0246284983816618
SOUTHLAND DISTRICT,accelerated_modernization,2029,1365.8293706253762,9.987640130123022,4.014317132900766,0.1605726853160306,0.12042951398702298,0.20071585664503833
STRATFORD DISTRICT,accelerated_modernization,2029,177.67640526230494,1.2349418588474008,0.44321799350372326,0.017728719740148897,0.013296539805111697,0.022160899675186165
TARARUA DISTRICT,accelerated_modernization,2029,378.72328371275773,2.7051890016408704,1.0622042713368183,0.042488170853472645,0.031866128140104547,0.05311021356684092
TASMAN DISTRICT,accelerated_modernization,2029,867.4329457008671,5.841214319140665,2.000785010950816,0.08003140043803256,0.06002355032852447,0.1000392505475408
TAUPO DISTRICT,accelerated_modernization,2029,263.8894449915997,2.0197967926352334,0.8803691246949674,0.03521476498779862,0.02641107374084902,0.04401845623474837
TAURANGA CITY,accelerated_modernization,2029,382.9219086860618,2.7957084398997707,1.1582799361556275,0.04633119744622505,0.03474839808466883,0.05791399680778138
THAMES-COROMANDEL DISTRICT,accelerated_modernization,2029,244.27273492472548,1.6880204700677903,0.6080402275214546,0.024321609100858125,0.018241206825643636,0.03040201137607273
TIMARU DISTRICT,accelerated_modernization,2029,1073.414893287094,7.571763380966684,2.838046830328156,0.1135218732131262,0.08514140490984468,0.1419023415164078
UPPER HUTT CITY,accelerated_modernization,2029,36.461539981757724,0.24836729886664854,0.0825961064807363,0.0033038442592294003,0.002477883194422089,0.004129805324036815
WAIKATO DISTRICT,accelerated_modernization,2029,733.0619042148962,5.28272269805334,2.035464143192293,0.08141856572769166,0.06106392429576878,0.10177320715961465
WAIMAKARIRI DISTRICT,accelerated_modernization,2029,504.51313465209694,3.3409084484083524,1.119256420506161,0.0447702568202464,0.03357769261518483,0.05596282102530806
WAIMATE DISTRICT,accelerated_modernization,2029,363.93401152263465,2.5875107984876955,0.9975952419547583,0.0399038096781903,0.029927857258642748,0.04987976209773792
WAIPA DISTRICT,accelerated_modernization,2029,842.1750711747873,6.090390504363055,2.35870422184493,0.09434816887379717,0.0707611266553479,0.1179352110922465
WAIROA DISTRICT,accelerated_modernization,2029,63.73014396846662,0.4252126425144479,0.14291786072440738,0.005716714428976275,0.004287535821732221,0.007145893036220369
WAITAKI DISTRICT,accelerated_modernization,2029,695.7512829395472,4.880241791533284,1.8193269660069173,0.07277307864027663,0.05457980898020752,0.09096634830034588
WAITOMO DISTRICT,accelerated_modernization,2029,139.8275716528132,1.0331678030744473,0.4276160101444012,0.017104640405776,0.012828480304332035,0.021380800507220063
WELLINGTON CITY,accelerated_modernization,2029,291.47398482332017,2.310188473622483,1.0727988516635594,0.04291195406654235,0.03218396554990678,0.053639942583177974
WESTERN BAY OF PLENTY DISTRICT,accelerated_modernization,2029,570.1637464877317,4.13800991496456,1.7068632593535238,0.06827453037414093,0.05120589778060571,0.08534316296767619
