region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central
WHAKATANE DISTRICT,2137458.978949544,328.4003380044102,539603.932281209,16188.11796843627,21584.15729124836,26980.196614060453,144566.1380668771,33397.44653644193,191712.08705278143,1032542.8801208632,395037.794214332,271668.159053568,68534.47390468042,328.4003380044102,2137458.978949544,2.137458978949544,539603.932281209,0.5396039322812091,0.021584157291248362,0.010507130470109314,0.0104880216185763,0.010278165183931697
WELLINGTON CITY,2092646.0661883145,291.4565910845867,666812.3071832261,20004.369215496783,26672.492287329045,33340.615359161304,182155.0440658861,11389.88095679229,97401.70868377484,982141.86436198,484657.26311734,314423.8262761773,20476.47872636382,291.4565910845867,2092646.0661883145,2.0926460661883146,666812.3071832261,0.6668123071832261,0.026672492287329045,0.009325119600997262,0.010268134920183553,0.012701180680677687
HURUNUI DISTRICT,2075917.867712996,323.0483083805041,493300.1534930341,14799.004604791022,19732.006139721365,24665.007674651704,131310.3366049254,31700.648535667984,199356.17827543325,1024433.7302146452,361989.8168881087,255932.22233809752,71194.93485611788,323.0483083805041,2075917.867712996,2.075917867712996,493300.1534930341,0.4933001534930341,0.019732006139721366,0.010335892907200607,0.010186053481907155,0.009396188870280457
TAUPO DISTRICT,1831842.4403939235,263.8735117389749,537643.9729611243,16129.319188833728,21505.75891844497,26882.198648056212,145599.9687035784,17801.13448316983,108011.1793099295,875074.8352043006,392044.0042575459,262149.0001119118,31162.318323487587,263.8735117389749,1831842.4403939235,1.8318424403939235,537643.9729611243,0.5376439729611243,0.021505758918444973,0.008442602197961495,0.008988431266231358,0.010240832643450656
HAURAKI DISTRICT,1830579.2605902727,288.31324739714904,451289.3729538431,13538.681188615292,18051.574918153725,22564.46864769216,121016.30857855758,48668.62854340741,159087.2545480783,846723.1043178887,330273.06437528547,226885.6535954945,97925.24663156085,288.31324739714904,1830579.2605902727,1.8305792605902726,451289.3729538431,0.4512893729538431,0.018051574918153724,0.00922454868673755,0.008982233132269812,0.008595983912428735
KAIPARA DISTRICT,1810338.963274492,296.01092131368426,367910.1576669832,11037.304730009497,14716.406306679328,18395.50788334916,94105.09648426445,36415.10406127159,206201.80251090656,894184.9907346945,273805.0611827187,205085.19650901185,100541.71179162445,296.01092131368426,1810338.963274492,1.810338963274492,367910.1576669832,0.3679101576669832,0.014716406306679327,0.009470834864909227,0.008882918629439613,0.007007809148760889
OTOROHANGA DISTRICT,1753482.9923406693,268.1601323338539,454731.69217866205,13641.95076535986,18189.267687146483,22736.584608933103,122412.2659807026,24212.388009547376,121992.05670508774,817610.2621997746,332319.42619795946,228197.6144243745,106738.97882322285,268.1601323338539,1753482.9923406693,1.7534829923406692,454731.69217866205,0.45473169217866205,0.018189267687146484,0.008579752123384672,0.008603939403091076,0.008661551866055274
NAPIER CITY,1552599.9340525514,238.35624012685437,392143.16384529753,11764.294915358923,15685.7265538119,19607.15819226488,103444.48821909713,25004.90372398081,126698.00311539212,744809.4074189442,288698.67562620045,198984.49880273765,64959.957146199005,238.35624012685437,1552599.9340525514,1.5525999340525514,392143.16384529753,0.3921431638452975,0.0156857265538119,0.007626180072153065,0.007618252248913771,0.007469389996311406
THAMES-COROMANDEL DISTRICT,1538580.289824006,244.26061529131636,356823.7344685892,10704.712034057677,14272.949378743568,17841.18672342946,95340.34825886416,18217.71172088504,139391.15674665765,727792.7261770759,261483.38620972505,184307.63021080755,112047.33049999096,244.26061529131636,1538580.289824006,1.538580289824006,356823.7344685892,0.35682373446858917,0.014272949378743568,0.00781508986613946,0.007549461065924147,0.006796639284875088
CENTRAL HAWKE'S BAY DISTRICT,1400534.2712112344,211.98485858825947,381599.187863667,11447.975635910008,15263.96751454668,19079.959393183348,105105.44188974382,16652.999672516664,128308.31227120147,657829.1560352057,276493.7459739231,184105.95191643247,32038.66345221106,211.98485858825947,1400534.2712112344,1.4005342712112343,381599.187863667,0.381599187863667,0.015263967514546681,0.006782430798973792,0.006872100872429032,0.007268552455383092
QUEENSTOWN-LAKES DISTRICT,1359259.2702183127,210.067848005876,321181.1112077174,9635.43333623152,12847.244448308697,16059.05556038587,83892.53960943934,15067.968243649808,116356.62580080693,675279.6746642708,237288.57159827807,171778.85084991757,59595.039451950186,210.067848005876,1359259.2702183127,1.3592592702183128,321181.1112077174,0.32118111120771736,0.012847244448308696,0.006721096269222447,0.006669573896714501,0.00611773250242234
MASTERTON DISTRICT,1261319.1786322347,197.96278148443693,301264.9398712507,9037.94819613752,12050.597594850027,15063.246993562536,80224.40866390732,14692.02976693158,127849.8275367798,609001.5290398544,221040.5312073434,153366.67485267285,55144.1775647453,197.96278148443693,1261319.1786322347,1.2613191786322346,301264.9398712507,0.3012649398712507,0.012050597594850027,0.006333796079268305,0.006189004300761391,0.00573837704079273
MACKENZIE DISTRICT,1234564.2757044004,187.64536645461396,312681.91797238216,9380.457539171464,12507.276718895286,15634.095898619107,81665.12900752207,20158.36224597163,99672.7536658446,604650.5292868773,231016.78896486008,162676.44767746262,34724.26485586218,187.64536645461396,1234564.2757044004,1.2345642757044004,312681.91797238216,0.31268191797238215,0.012507276718895287,0.006003691590060499,0.006057724120382004,0.005955843185504971
