region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
WHANGAREI DISTRICT,moderate_modernization,2030,622.5160584335971,4.424958927507974,1.6432077744359974,0.0657283109774399,0.04929623323307992,0.08216038872179987
AUCKLAND,scr_push,2030,2522.8001626490627,19.17105590738653,8.551095286572973,0.342043811462919,0.2565328585971892,0.4275547643286487
ASHBURTON DISTRICT,scr_push,2030,1768.537907490089,13.28938613931284,5.741234980944644,0.2296493992377857,0.1722370494283393,0.2870617490472322
MARLBOROUGH DISTRICT,scr_push,2030,1412.8133844334366,11.138077425307037,5.125831372856727,0.205033254914269,0.15377494118570179,0.25629156864283636
SOUTHLAND DISTRICT,scr_push,2030,1365.8541558950028,10.461967594798235,4.62792179269709,0.1851168717078836,0.1388376537809127,0.2313960896348545
MATAMATA-PIAKO DISTRICT,scr_push,2030,1090.8343014353586,8.34255186117062,3.665468902895879,0.1466187561158351,0.10996406708687637,0.18327344514479396
TIMARU DISTRICT,scr_push,2030,1073.432502865356,7.890583767077708,3.2651219117499197,0.1306048764699967,0.09795365735249759,0.163256095587496
HAMILTON CITY,scr_push,2030,861.3882938515482,6.728242609193839,3.0991393293238225,0.1239655731729529,0.09297417987971467,0.15495696646619114
HASTINGS DISTRICT,scr_push,2030,771.7659136619548,6.112960442122486,2.9299824846810054,0.1171992993872402,0.08789947454043016,0.1464991242340503
CHRISTCHURCH CITY,scr_push,2030,910.2324161618304,6.763507533959179,2.9220793879739904,0.1168831755189596,0.0876623816392197,0.14610396939869952
INVERCARGILL CITY,scr_push,2030,845.9160075431453,6.440782909510894,2.824068853054137,0.1129627541221654,0.08472206559162411,0.14120344265270687
WAIPA DISTRICT,scr_push,2030,842.1897176348002,6.3590727850863455,2.7113796555885243,0.1084551862235409,0.08134138966765572,0.13556898277942622
PALMERSTON NORTH CITY,scr_push,2030,742.2436245459617,5.528895959040976,2.3573750930168647,0.0942950037206745,0.07072125279050594,0.11786875465084323
WAIKATO DISTRICT,scr_push,2030,733.0743901278075,5.515022282175048,2.34377435841104,0.0937509743364416,0.0703132307523312,0.11718871792055202
TASMAN DISTRICT,scr_push,2030,867.4433169845638,6.052224931812022,2.291942159158756,0.0916776863663502,0.06875826477476268,0.11459710795793782
WHANGAREI DISTRICT,scr_push,2030,622.5160584335971,4.779694320655315,2.1691862867592926,0.0867674514703717,0.06507558860277877,0.10845931433796463
